mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__n_jobs,param_model__n_estimators,param_model__base_estimator,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
0.17579436302185059,0.017850637435913086,0.24314355850219727,0.016345500946044922,1,-1,1,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 1, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.61,0.58,0.595,0.015000000000000013,50,0.6354166666666666,0.5918367346938774,0.613626700680272,0.0217899659863946,50,0.6630434782608695,0.6041666666666666,0.6336050724637681,0.02943840579710144,50,0.5513745369606082,0.4944841784796284,0.5229293577201183,0.02844517924048992,50
0.1725395917892456,0.06631934642791748,0.13446247577667236,0.032065510749816895,2,-1,5,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 2, 'model__n_jobs': -1, 'model__n_estimators': 5, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.63,0.71,0.6699999999999999,0.03999999999999998,39,0.6810810810810811,0.6995073891625615,0.6902942351218213,0.00921315404074019,43,0.7411764705882353,0.6893203883495146,0.715248429468875,0.025928041119360368,44,0.6136659835740632,0.6246036334836438,0.6191348085288535,0.005468824954790286,42
0.15685749053955078,0.0793924331665039,0.453091025352478,0.041030049324035645,3,-1,15,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 3, 'model__n_jobs': -1, 'model__n_estimators': 15, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.67,0.7,0.685,0.014999999999999958,6,0.716577540106952,0.717948717948718,0.717263129027835,0.0006855889208829957,8,0.7701149425287356,0.7368421052631579,0.7534785238959467,0.016636418632788863,18,0.6554012941353009,0.6513396273602131,0.6533704607477571,0.0020308333875438955,9
0.2873249053955078,0.04351401329040527,0.8550630807876587,0.044129014015197754,1,-1,30,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 30, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.7,0.6799999999999999,0.019999999999999962,18,0.7135135135135134,0.7106598984771574,0.7120867059953354,0.0014268075181780304,22,0.7764705882352941,0.7216494845360825,0.7490600363856883,0.027410551849605835,22,0.6534561026587667,0.6411972645675443,0.6473266836131555,0.0061294190456112055,26
0.5114988088607788,0.02964794635772705,1.0769071578979492,0.033783912658691406,1,-1,50,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 1, 'model__n_jobs': -1, 'model__n_estimators': 50, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.65,0.71,0.6799999999999999,0.02999999999999997,18,0.7103825136612022,0.7208121827411167,0.7155973482011595,0.005214834539957247,12,0.7831325301204819,0.7319587628865979,0.75754564650354,0.025586883616942002,9,0.651605698442354,0.6537930963695673,0.6526993974059607,0.0010936989636066152,10
0.030416488647460938,0.0010135173797607422,0.6818829774856567,0.015153050422668457,10,-1,1,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 10, 'model__n_jobs': -1, 'model__n_estimators': 1, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.61,0.69,0.6499999999999999,0.03999999999999998,46,0.61,0.6969696969696969,0.6534848484848484,0.04348484848484846,49,0.61,0.7040816326530612,0.6570408163265307,0.04704081632653062,49,0.5144117647058823,0.623678442529456,0.5690451036176691,0.054633338911786844,49
0.521960973739624,0.058441162109375,1.1216871738433838,0.0044269561767578125,7,-1,50,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 7, 'model__n_jobs': -1, 'model__n_estimators': 50, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.68,0.69,0.685,0.004999999999999949,6,0.7311827956989247,0.711340206185567,0.7212615009422458,0.009921294756678856,2,0.7906976744186046,0.7340425531914894,0.7623701138050469,0.028327560613557623,5,0.6742196456843618,0.6437645418517637,0.6589920937680627,0.015227551916299042,3
0.3855705261230469,0.018405675888061523,0.23079347610473633,0.025702238082885742,8,-1,5,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 8, 'model__n_jobs': -1, 'model__n_estimators': 5, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.62,0.64,0.63,0.010000000000000009,49,0.6666666666666666,0.6632124352331608,0.6649395509499136,0.001727115716752936,47,0.7209302325581395,0.6881720430107527,0.7045511377844461,0.01637909477369337,46,0.5950097520655699,0.5849475922986489,0.5899786721821094,0.005031079883460521,47
0.460890531539917,0.02201533317565918,1.1362544298171997,0.03727757930755615,10,-1,50,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 10, 'model__n_jobs': -1, 'model__n_estimators': 50, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.71,0.685,0.024999999999999967,6,0.717391304347826,0.7171717171717172,0.7172815107597716,0.00010979358805440764,7,0.7857142857142857,0.7244897959183674,0.7551020408163265,0.030612244897959162,15,0.6591818949063907,0.6487717934565084,0.6539768441814495,0.0052050507249411515,8
0.2704794406890869,0.012563467025756836,0.4859250783920288,0.006591916084289551,10,-1,30,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 10, 'model__n_jobs': -1, 'model__n_estimators': 30, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.66,0.68,0.67,0.010000000000000009,37,0.717391304347826,0.6974358974358974,0.7074136008918617,0.009977703455964326,34,0.7857142857142857,0.7157894736842105,0.7507518796992481,0.034962406015037584,20,0.6591818949063907,0.6259458798008126,0.6425638873536017,0.016618007552789027,32
0.2077491283416748,0.002129077911376953,0.45979905128479004,0.0286252498626709,9,-1,1,"KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')","{'model__random_state': 9, 'model__n_jobs': -1, 'model__n_estimators': 1, 'model__base_estimator': KNeighborsClassifier(n_jobs=-1, n_neighbors=6, weights='distance')}",0.69,0.6,0.645,0.04499999999999999,47,0.6831683168316831,0.6349206349206349,0.659044475876159,0.024123840955524112,48,0.6764705882352942,0.6741573033707865,0.6753139458030404,0.0011566424322538293,47,0.6046000248981754,0.5532473520632273,0.5789236884807014,0.025676336417474077,48
